ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
100447587,Astoria Ampang,2020,RM 650 per month,Selangor - Ampang,Service Residence,5,2,2,888 sq.ft.,Fully Furnished,"Playground, Gymnasium, Jogging Track, Tennis Court, Multipurpose hall, Security, Minimart, Sauna, Parking, Swimming Pool, Lift, Barbeque area, Club house, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100545812,Galleria Equine Park,2016,RM 1 250 per month,Selangor - Seri Kembangan,Service Residence,3,2,2,890 sq.ft.,Partially Furnished,"Multipurpose hall, Barbeque area, Parking, Security, Gymnasium, Playground, Swimming Pool",Cooking Allowed,Selangor
100447311,Impiria Residensi Bukit Tinggi Klang,2018,RM 2 000 per month,Selangor - Klang,Service Residence,2,,2,855 sq.ft.,Fully Furnished,"Sauna, Security, Playground, Swimming Pool, Squash Court, Minimart, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed",Selangor
99990298,Koi Prima,,RM 1 200 per month,Selangor - Puchong,Condominium,3,2,2,1055 sq.ft.,Partially Furnished,"Parking, Gymnasium, Security, Sauna, Lift, Barbeque area, Swimming Pool, Minimart, Multipurpose hall, Playground, Jogging Track","Air-Cond, Cooking Allowed",Selangor
100545624,Sri Cempaka (Bandar Puchong Jaya),,RM 950 per month,Selangor - Puchong,Apartment,3,,2,800 sq.ft.,Not Furnished,"Security, Parking, Playground",,Selangor
100545623,Pangsapuri Ria (Kajang),,RM 950 per month,Selangor - Kajang,Condominium,3,,2,900 sq.ft.,Partially Furnished,"Lift, Playground, Parking, Security, Jogging Track",,Selangor
100545622,Koi Tropika,2006,RM 1 500 per month,Selangor - Puchong,Condominium,3,,2,1020 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
99535668,,,RM 1 200 per month,Selangor - Bangi,Condominium,3,2,2,1017 sq.ft.,Not Furnished,,,Selangor
100545538,saujana apartment,,RM 700 per month,Selangor - Damansara Damai,Apartment,3,,2,700 sq.ft.,Partially Furnished,"Parking, Security, Jogging Track, Swimming Pool, Playground, Minimart, Gymnasium","Cooking Allowed, Near KTM/LRT",Selangor
100545486,Apartmen Harmoni,,RM 500 per month,Selangor - Petaling Jaya,Apartment,3,,2,650 sq.ft.,Not Furnished,"Swimming Pool, Security, Parking, Lift, Playground, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
100545362,Trefoil,2015,RM 1 050 per month,Selangor - Setia Alam,Studio,1,1,1,485 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Selangor
100545474,Villa Malawati,,RM 900 per month,Selangor - Kuala Selangor,Apartment,3,,2,904 sq.ft.,Partially Furnished,"Parking, Security",,Selangor
100446916,Gravit8,2018,RM 1 800 per month,Selangor - Port Klang,Service Residence,2,,2,792 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium",,Selangor
